timestamp,FM,NOX,O2,temp
2022-03-01 00:00:00+00:00,2050.36,36.75,5.6,98.38
2022-03-01 00:05:00+00:00,2038.29,36.65,5.64,98.3
2022-03-01 00:10:00+00:00,2051.85,36.27,5.6,98.28
2022-03-01 00:15:00+00:00,2043.45,36.51,5.64,98.29
2022-03-01 00:20:00+00:00,2071.23,36.68,5.61,98.3
2022-03-01 00:25:00+00:00,2026.59,36.56,5.61,98.27
2022-03-01 00:30:00+00:00,2037.72,36.47,5.64,98.2
2022-03-01 00:35:00+00:00,2031.17,36.56,5.6,98.2
2022-03-01 00:40:00+00:00,1961.55,36.62,5.76,97.89
2022-03-01 00:45:00+00:00,1979.14,36.43,5.69,97.76
2022-03-01 00:50:00+00:00,1973.74,36.55,5.74,97.68
2022-03-01 00:55:00+00:00,1981.07,36.27,5.71,97.57
2022-03-01 01:00:00+00:00,2026.66,36.76,5.65,97.73
2022-03-01 01:05:00+00:00,1977.89,36.82,5.71,97.6
2022-03-01 01:10:00+00:00,1987.78,36.51,5.68,97.32
2022-03-01 01:15:00+00:00,2015.6,36.54,5.62,97.49
2022-03-01 01:20:00+00:00,1997.45,36.79,5.67,97.33
2022-03-01 01:25:00+00:00,2016.05,36.93,5.67,97.2
2022-03-01 01:30:00+00:00,1996.22,36.8,5.65,97.12
2022-03-01 01:35:00+00:00,1994.26,36.94,5.68,96.85
2022-03-01 01:40:00+00:00,2021.93,36.77,5.61,96.8
2022-03-01 01:45:00+00:00,2013.7,36.79,5.62,96.6
2022-03-01 01:50:00+00:00,1999.67,36.88,5.63,96.4
2022-03-01 01:55:00+00:00,2009.65,37.03,5.65,96.24
2022-03-01 02:00:00+00:00,1977.61,37.02,5.62,95.96
2022-03-01 02:05:00+00:00,1987.13,37.2,5.67,95.74
2022-03-01 02:10:00+00:00,2000.03,37.25,5.66,95.5
2022-03-01 02:15:00+00:00,1969.59,37.07,5.61,95.23
2022-03-01 02:20:00+00:00,1955.91,37.36,5.68,94.88
2022-03-01 02:25:00+00:00,1957.85,37.07,5.65,94.66
2022-03-01 02:30:00+00:00,1971.45,37.27,5.7,94.47
2022-03-01 02:35:00+00:00,1958.63,37.49,5.69,94.34
2022-03-01 02:40:00+00:00,1934.86,37.69,5.78,94
2022-03-01 02:45:00+00:00,1937.96,37.8,5.72,94
2022-03-01 02:50:00+00:00,1945.55,37.6,5.65,94
2022-03-01 02:55:00+00:00,1976.5,37.87,5.67,93.8
2022-03-01 03:00:00+00:00,1953.6,37.95,5.68,93.77
2022-03-01 03:05:00+00:00,1932.98,38.06,5.74,93.49
2022-03-01 03:10:00+00:00,1948.51,37.96,5.72,93.36
2022-03-01 03:15:00+00:00,1922.98,37.82,5.71,93.05
2022-03-01 03:20:00+00:00,1889.18,38.01,5.77,92.94
2022-03-01 03:25:00+00:00,1884.64,38.06,5.8,92.88
2022-03-01 03:30:00+00:00,1838.13,38.21,5.89,92.62
2022-03-01 03:35:00+00:00,1863.49,38.3,5.9,92.69
2022-03-01 03:40:00+00:00,1864.16,38.28,5.86,92.68
2022-03-01 03:45:00+00:00,1839.47,38.46,5.97,92.53
2022-03-01 03:50:00+00:00,1870.46,38.76,5.93,92.72
2022-03-01 03:55:00+00:00,1839.99,38.72,5.97,92.68
2022-03-01 04:00:00+00:00,1834.66,38.41,5.95,92.52
2022-03-01 04:05:00+00:00,1799.84,38.52,6.02,92.43
2022-03-01 04:10:00+00:00,1794.99,38.49,6.04,92.5
2022-03-01 04:15:00+00:00,1803.85,38.22,6.03,92.4
2022-03-01 04:20:00+00:00,1782.02,38.52,6.04,92.48
2022-03-01 04:25:00+00:00,1813.76,38.51,6.04,92.42
2022-03-01 04:30:00+00:00,1799.91,38.66,5.96,92.62
2022-03-01 04:35:00+00:00,1832.8,38.39,5.97,92.5
2022-03-01 04:40:00+00:00,1837.51,38.26,5.89,92.54
2022-03-01 04:45:00+00:00,1784.96,38.5,5.96,92.43
2022-03-01 04:50:00+00:00,1760.97,38.46,6.01,92.3
2022-03-01 04:55:00+00:00,1778,38.39,5.97,92.41
2022-03-01 05:00:00+00:00,1745.76,38.5,6.01,92.3
2022-03-01 05:05:00+00:00,1750.1,38.73,6.08,92.26
2022-03-01 05:10:00+00:00,1785.74,39.04,6.05,92.51
2022-03-01 05:15:00+00:00,1857.94,39.35,5.96,92.83
2022-03-01 05:20:00+00:00,1838.22,39.16,5.93,92.9
2022-03-01 05:25:00+00:00,1864.22,39.29,5.96,
2022-03-01 05:30:00+00:00,1867.4,39.4,5.88,92.94
2022-03-01 05:35:00+00:00,1811.78,39.51,5.98,92.75
2022-03-01 05:40:00+00:00,1894.21,38.59,5.97,92.75
2022-03-01 05:45:00+00:00,1957.11,39.01,5.89,93.09
2022-03-01 05:50:00+00:00,1749.29,39.32,6.21,92.64
2022-03-01 05:55:00+00:00,1738.41,38.38,6.32,91.93
2022-03-01 06:00:00+00:00,1812.88,38.6,6.12,92.1
2022-03-01 06:05:00+00:00,1747.66,37.99,6.14,92.02
2022-03-01 06:10:00+00:00,1773.85,37.96,6.16,92.09
2022-03-01 06:15:00+00:00,1772.67,37.81,6.08,92.25
2022-03-01 06:20:00+00:00,1718.05,37.81,6.26,92.1
2022-03-01 06:25:00+00:00,1775.87,38.02,6.2,92.3
2022-03-01 06:30:00+00:00,1737.03,37.98,6.16,92.44
2022-03-01 06:35:00+00:00,1716.95,37.54,6.24,92.3
2022-03-01 06:40:00+00:00,1756.24,37.05,6.12,92.46
2022-03-01 06:45:00+00:00,1888.5,38.22,6.21,92.88
2022-03-01 06:50:00+00:00,1845.6,38.47,6.06,93.26
2022-03-01 06:55:00+00:00,1754.66,38.16,6.29,92.85
2022-03-01 07:00:00+00:00,1896.42,38.02,6.14,92.91
2022-03-01 07:05:00+00:00,1845.95,37.88,6.01,93.07
2022-03-01 07:10:00+00:00,1838.09,37.66,6.11,92.9
2022-03-01 07:15:00+00:00,1870.12,38.09,6.03,92.95
2022-03-01 07:20:00+00:00,1806.16,37.69,6.01,92.9
2022-03-01 07:25:00+00:00,1775.07,37.45,6.12,92.53
2022-03-01 07:30:00+00:00,1811.04,37.44,6.03,92.64
2022-03-01 07:35:00+00:00,1819.21,37.13,5.96,92.7
2022-03-01 07:40:00+00:00,1804.67,37.18,5.97,92.7
2022-03-01 07:45:00+00:00,1813.11,37.29,5.97,92.67
2022-03-01 07:50:00+00:00,1859.45,37.44,5.93,92.82
2022-03-01 07:55:00+00:00,1867.03,37.64,5.86,92.87
2022-03-01 08:00:00+00:00,1819.89,37.35,5.92,92.67
2022-03-01 08:05:00+00:00,1839.68,37.12,5.89,92.5
2022-03-01 08:10:00+00:00,1822.49,37.25,5.89,92.46
2022-03-01 08:15:00+00:00,1834.37,37.28,5.91,92.3
2022-03-01 08:20:00+00:00,1832.37,37.29,5.88,92.29
2022-03-01 08:25:00+00:00,1746.07,37.48,6.06,91.91
2022-03-01 08:30:00+00:00,1785.84,36.99,6.03,91.78
2022-03-01 08:35:00+00:00,1797.49,36.78,5.91,91.9
2022-03-01 08:40:00+00:00,1782.39,36.96,6.01,91.87
2022-03-01 08:45:00+00:00,1804.84,36.61,5.95,91.78
2022-03-01 08:50:00+00:00,1773.01,36.51,5.94,91.81
2022-03-01 08:55:00+00:00,1796.32,36.67,5.97,91.75
2022-03-01 09:00:00+00:00,1779.66,36.62,5.94,91.85
2022-03-01 09:05:00+00:00,1756.03,36.86,6.09,91.7
2022-03-01 09:10:00+00:00,1763.23,36.44,6.01,91.7
2022-03-01 09:15:00+00:00,1797.23,36.61,5.98,91.89
2022-03-01 09:20:00+00:00,1791.16,36.64,5.98,91.91
2022-03-01 09:25:00+00:00,1781.4,36.71,5.99,91.91
2022-03-01 09:30:00+00:00,1790.3,36.67,6.01,91.94
2022-03-01 09:35:00+00:00,1830.69,36.91,5.95,92.14
2022-03-01 09:40:00+00:00,1837.95,37.34,5.92,92.31
2022-03-01 09:45:00+00:00,1755.87,37.37,6.07,92.16
2022-03-01 09:50:00+00:00,1811.3,37.29,6.02,92.16
2022-03-01 09:55:00+00:00,1834.65,37.69,5.93,92.31
2022-03-01 10:00:00+00:00,1798.72,37.49,6,92.18
2022-03-01 10:05:00+00:00,1810.95,37.37,5.96,92.06
2022-03-01 10:10:00+00:00,1784.08,37.53,5.93,92.1
2022-03-01 10:15:00+00:00,1799.07,,5.93,92.13
2022-03-01 10:20:00+00:00,1821.63,,5.94,92.38
2022-03-01 10:25:00+00:00,1822.43,,5.95,92.55
2022-03-01 10:30:00+00:00,1835,,5.91,92.79
2022-03-01 10:35:00+00:00,1806.24,37.74,5.95,92.9
2022-03-01 10:40:00+00:00,1810.49,37.45,5.97,93.03
2022-03-01 10:45:00+00:00,1844.08,37.59,5.93,93.37
2022-03-01 10:50:00+00:00,1821.76,37.53,5.98,93.58
2022-03-01 10:55:00+00:00,1885.45,38.07,5.98,94.05
2022-03-01 11:00:00+00:00,1853.67,37.94,5.93,94.4
2022-03-01 11:05:00+00:00,1940.24,38.28,6,94.73
2022-03-01 11:10:00+00:00,1980.48,38.81,5.8,95.41
2022-03-01 11:15:00+00:00,1885.66,38.62,5.89,95.37
2022-03-01 11:20:00+00:00,1942.15,38.2,5.85,95.39
2022-03-01 11:25:00+00:00,1914.73,37.94,5.8,95.65
2022-03-01 11:30:00+00:00,1920.74,38.05,5.89,95.63
2022-03-01 11:35:00+00:00,1882.51,37.98,5.96,95.7
2022-03-01 11:40:00+00:00,1907.96,37.65,5.96,95.71
2022-03-01 11:45:00+00:00,1888.23,37.62,5.88,95.95
2022-03-01 11:50:00+00:00,1740.76,38.06,6.14,95.76
2022-03-01 11:55:00+00:00,1806.44,37.56,6.13,95.76
2022-03-01 12:00:00+00:00,1805.87,37.63,6.09,96.04
2022-03-01 12:05:00+00:00,1783.59,37.59,6.18,95.99
2022-03-01 12:10:00+00:00,1831.89,37.84,6.11,96.43
2022-03-01 12:15:00+00:00,1714.68,38.26,6.31,96.24
2022-03-01 12:20:00+00:00,1761.9,37.9,6.3,96.16
2022-03-01 12:25:00+00:00,1881.11,38.95,6.21,96.79
2022-03-01 12:30:00+00:00,1818.29,38.45,6.07,96.77
2022-03-01 12:35:00+00:00,1788.8,38.22,6.32,96.16
2022-03-01 12:40:00+00:00,1877.9,38.94,6.24,96.52
2022-03-01 12:45:00+00:00,1855.53,38.27,6.06,96.49
2022-03-01 12:50:00+00:00,1834.42,38.16,6.17,96.14
2022-03-01 12:55:00+00:00,1851.78,38.14,6.05,95.96
2022-03-01 13:00:00+00:00,1848.96,38,6.07,95.81
2022-03-01 13:05:00+00:00,1842.57,37.71,6.01,95.53
2022-03-01 13:10:00+00:00,1835.55,37.91,6.01,95.3
2022-03-01 13:15:00+00:00,1844.59,37.7,5.96,95.19
2022-03-01 13:20:00+00:00,1854.5,37.91,5.95,95.1
2022-03-01 13:25:00+00:00,1893.56,38.08,5.89,95.1
2022-03-01 13:30:00+00:00,1954.69,38.3,5.79,95.23
2022-03-01 13:35:00+00:00,1892.24,38.41,5.8,95.07
2022-03-01 13:40:00+00:00,1899.3,38.14,5.82,94.7
2022-03-01 13:45:00+00:00,1879.66,37.7,5.8,94.63
2022-03-01 13:50:00+00:00,1880.07,37.77,5.95,94.51
2022-03-01 13:55:00+00:00,1888.38,37.97,5.94,94.52
2022-03-01 14:00:00+00:00,1847.38,37.83,6.01,94.29
2022-03-01 14:05:00+00:00,1824.79,37.95,6.1,94.05
2022-03-01 14:10:00+00:00,1920.18,38.38,6.11,94.29
2022-03-01 14:15:00+00:00,1886.3,39.87,6.06,94.5
2022-03-01 14:20:00+00:00,1712.64,39.81,6.46,93.42
2022-03-01 14:25:00+00:00,1801.51,39.06,6.53,93.52
2022-03-01 14:30:00+00:00,1853.14,38.79,6.01,93.74
2022-03-01 14:35:00+00:00,1786.41,38.44,6.17,93.38
2022-03-01 14:40:00+00:00,1837.76,38.42,6.09,93.49
2022-03-01 14:45:00+00:00,1821.18,38.03,5.98,93.6
2022-03-01 14:50:00+00:00,1912.33,38.79,6.05,93.81
2022-03-01 14:55:00+00:00,1857.47,39.24,6.52,
2022-03-01 15:00:00+00:00,1836.46,39.11,6.14,94.08
2022-03-01 15:05:00+00:00,1851.96,38.39,6,94
2022-03-01 15:10:00+00:00,1804.29,38.7,6.17,93.81
2022-03-01 15:15:00+00:00,1825.93,38.32,6.08,93.84
2022-03-01 15:20:00+00:00,1801.23,38.38,6.07,93.89
2022-03-01 15:25:00+00:00,1778.91,38.3,6.14,93.8
2022-03-01 15:30:00+00:00,1795.75,37.87,6.05,93.91
2022-03-01 15:35:00+00:00,1787.84,37.66,6.09,94
2022-03-01 15:40:00+00:00,1772.82,37.64,6.12,94
2022-03-01 15:45:00+00:00,1770.79,37.93,6.12,94.16
2022-03-01 15:50:00+00:00,1791.25,37.8,6.15,94.27
2022-03-01 15:55:00+00:00,1853.33,39.03,6.15,94.7
2022-03-01 16:00:00+00:00,1788.42,38.78,6.12,94.75
2022-03-01 16:05:00+00:00,1797.35,38.43,6.2,94.61
2022-03-01 16:10:00+00:00,1882.94,39.21,6.11,94.93
2022-03-01 16:15:00+00:00,1860.18,38.93,6.06,95.04
2022-03-01 16:20:00+00:00,1995.67,40.58,6.14,95.63
2022-03-01 16:25:00+00:00,1871.51,40.63,6.07,
2022-03-01 16:30:00+00:00,1847.5,40.07,6.36,95.02
2022-03-01 16:35:00+00:00,1990.49,41.33,6.17,95.65
2022-03-01 16:40:00+00:00,1901.48,40.35,6.03,95.61
2022-03-01 16:45:00+00:00,1902.65,39.71,6.12,95.1
2022-03-01 16:50:00+00:00,1972.85,40.37,6.03,95.4
2022-03-01 16:55:00+00:00,1928.01,39.65,5.96,95.37
2022-03-01 17:00:00+00:00,1911.35,39.62,6.02,95.04
2022-03-01 17:05:00+00:00,1866.25,39.59,6.09,94.71
2022-03-01 17:10:00+00:00,1909.64,39.3,6,94.71
2022-03-01 17:15:00+00:00,1939.47,39.44,5.88,94.93
2022-03-01 17:20:00+00:00,1897.39,39.29,5.95,94.79
2022-03-01 17:25:00+00:00,1906.21,39.01,5.92,94.7
2022-03-01 17:30:00+00:00,1937.72,38.96,5.88,94.81
2022-03-01 17:35:00+00:00,1911.74,39.03,5.88,94.71
2022-03-01 17:40:00+00:00,1904.36,39.08,5.95,94.7
2022-03-01 17:45:00+00:00,1928.02,39.84,6.05,94.9
2022-03-01 17:50:00+00:00,1912.49,39.66,6.05,94.9
2022-03-01 17:55:00+00:00,1937.14,39.95,6.05,95.06
2022-03-01 18:00:00+00:00,1879.34,40.1,6.06,94.97
2022-03-01 18:05:00+00:00,1952.32,39.84,6.07,95.03
2022-03-01 18:10:00+00:00,1962.43,40.07,5.97,95.29
2022-03-01 18:15:00+00:00,1935.49,39.83,5.99,95.22
2022-03-01 18:20:00+00:00,1939.16,39.78,5.99,95.09
2022-03-01 18:25:00+00:00,1945.49,39.65,5.98,95.1
2022-03-01 18:30:00+00:00,1947.58,39.43,5.97,95.03
2022-03-01 18:35:00+00:00,1937.44,39.56,5.97,95.1
2022-03-01 18:40:00+00:00,1947.95,39.39,6,94.94
2022-03-01 18:45:00+00:00,1945.2,39.83,5.99,95.05
2022-03-01 18:50:00+00:00,1934.4,39.72,6.02,95.05
2022-03-01 18:55:00+00:00,1942.96,39.69,5.99,94.91
2022-03-01 19:00:00+00:00,1970.84,39.55,5.94,95.1
2022-03-01 19:05:00+00:00,1929.09,39.82,5.99,94.94
2022-03-01 19:10:00+00:00,1984.95,39.75,5.92,95.11
2022-03-01 19:15:00+00:00,1961.17,39.53,5.87,95.18
2022-03-01 19:20:00+00:00,1938.59,39.59,5.95,94.92
2022-03-01 19:25:00+00:00,1952.59,39.28,5.92,94.9
2022-03-01 19:30:00+00:00,1974.77,39.34,5.87,94.95
2022-03-01 19:35:00+00:00,1933.6,39.58,5.97,94.9
2022-03-01 19:40:00+00:00,1950.63,39.5,5.97,94.9
2022-03-01 19:45:00+00:00,1945.34,39.18,5.88,94.9
2022-03-01 19:50:00+00:00,1969.4,39.24,5.91,94.92
2022-03-01 19:55:00+00:00,2024.65,40.38,5.97,95.26
2022-03-01 20:00:00+00:00,2011.02,40.06,5.9,95.4
2022-03-01 20:05:00+00:00,2042.58,39.85,5.92,95.24
2022-03-01 20:10:00+00:00,2030.56,39.99,5.87,95.34
2022-03-01 20:15:00+00:00,2045.71,39.59,5.88,95.28
2022-03-01 20:20:00+00:00,2043.05,39.75,5.86,95.19
2022-03-01 20:25:00+00:00,1961.35,40.12,6.03,94.99
2022-03-01 20:30:00+00:00,2002.48,39.86,6.09,94.7
2022-03-01 20:35:00+00:00,2011.53,39.9,5.98,94.91
2022-03-01 20:40:00+00:00,1984.24,39.61,5.97,94.78
2022-03-01 20:45:00+00:00,2035.3,39.59,5.89,94.8
2022-03-01 20:50:00+00:00,2090.16,40.21,5.85,95.16
2022-03-01 20:55:00+00:00,2074.45,40.2,5.82,95.06
2022-03-01 21:00:00+00:00,2166.66,40.77,5.89,95.14
2022-03-01 21:05:00+00:00,2201.4,41.13,5.69,95.63
2022-03-01 21:10:00+00:00,2150.03,40.94,5.76,95.27
2022-03-01 21:15:00+00:00,2299.81,41.02,5.76,95.33
